english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
RIGHTEOUS MATE,A419, Savabeel, Mill Duckie,2018-09-09,25,ST tf g/f C,1600,4,WD,K. W. Lui,120,G. van Niekerk,7,B/XB,1:34:41,24.08, ,10-1-2-1-5,3.5,1181.0,47.0,2.5,
ROMAN ODYSSEY,A092, Holy Roman Emperor, Rule The Waves,2019-01-16,344,HV tf g B,1200,4,WD,K. L. Man,129,C. Y. Ho,3,H/TT,1:10:40,23.65, ,8-11-11,5,1125.0,58.0,17.0,
ROCKETEER,A214, Smart Missile, Some Girls Do,2018-05-20,667,ST tf g/f C+3,1600,2,WD,J. Moore,128,D. Whyte,1, ,1:33:91,22.81, ,9-7-7-7-10,5,,90.0,,
ROYAL MOJITO,A261, Darci Brahma, Lava Lady,2019-03-31,540,ST tf g A+3,1200,4,WD,C. H. Yip,127,U. Rispoli,1,B-/TT,1:09:92,23.26, ,4-4-3,3.25,1101.0,52.0,,
SALSA BROTHERS,V022, Swiss Ace, Broadway Queen,2017-10-18,123,HV tf g/f C,1200,4,WD,F. C. Lor,118,C. Schofield,12,B/TT-,1:10:80,22.61, ,2-2-3-9,6.5,1090.0,44.0,18.0,
SAVVY SIX,B153, Pour Moi, Rosenreihe,2018-05-06,624,ST tf g B,2400,G3,WD,A. S. Cruz,113,M. L. Yeung,2,H/PC/TT,2:25:98,23.44, ,7-6-6-5-3-4,1.5,1001.0,86.0,9.8,
SEVEN HEAVENS,B089, Frankel, Heaven Sent,2019-03-10,482,ST tf g C+3,1000,3,WD,C. Fownes,126,C. Wong,10,H/TT,0:57:02,23.6, ,9-6-2,0.5,1073.0,80.0,,
SHIMMER AND SHINE,B080, Showcasing, Princess Amidala,2019-01-12,339,ST tf g A,1200,3,WD,C. Fownes,116,C. Schofield,8, ,1:08:80,22.89, ,4-4-3,1.25,1204.0,63.0,16.0,
SKY MELODY,B218, High Chaparral, Dontwaltzme,2018-10-03,66,HV tf g A,1800,3,WD,C. Fownes,129,Z. Purton,8, ,1:50:15,24.02, ,5-6-6-1,1.75,1233.0,74.0,,
SMART BABY,A160, Shamardal, Marine City,2018-07-04,774,HV tf g C+3,1800,4,WD,C. Fownes,119,Z. Purton,12,V,1:50:33,23.87, ,11-11-11-9,5.5,1253.0,45.0,3.4,
SOCCER MASTER,B452, Iffraaj, Neuquen,2018-12-16,260,ST tf g C+3,1400,4,WD,D. Ferraris,128,N. Callan,8, ,1:23:37,22.81, ,8-8-8-9,11,1124.0,57.0,43.0,
SOUTHERN LEGEND,A252, Not A Single Doubt, Donna's Appeal,2017-11-19,205,ST tf g B,1200,G2,WD,C. Fownes,123,S. Clipperton,8,V,1.09.33,22.44, ,12-10-1,N,1166.0,102.0,,
SPRING WIN,V157, Magic Albert, Inaname,2016-04-03,530,ST tf g B+2,1200,4,WD,P. F. Yiu,119,K. Teetan,2,H    ,1:09.6,22.0, ,5-5-5,8.25,1054.0,50.0,26.0,
SPINNING DANCER,S078, Commands, Annie Daly,2017-09-13,33,HV tf g/f B,1650,4,WD,K. L. Man,125,K. C. Leung,5,CP,1:40:48,23.94, ,6-6-6-11,7,1050.0,54.0,26.0,
STAR SUPERIOR,V255, Reward For Effort, Sister Livia,2019-03-24,521,ST tf g C+3,1000,4,WD,C. W. Chang,113,M. F. Poon,10, ,0:56:65,22.67, ,7-6-6,6,1066.0,42.0,,
SUMSTREETSUMWHERE,B283, Highly Recommended, Street Siren,2018-04-21,591,ST tf g C+3,1200,3,WD,C. Fownes,131,C. Y. Ho,9, ,1:09:65,22.3, ,10-10-6,4.75,1055.0,80.0,,
SUPER JUNIOR,V390, Medaglia D'oro, Princesa,2018-05-02,620,ST aw g -,1200,3,WD,T. P. Yung,114,K. Teetan,7,TT,1:08:19,23.33, ,6-6-9,4,1204.0,61.0,14.0,
SUPER MISSILE,B081, Smart Missile, Hula Here,2018-03-18,511,ST tf g A,1400,3,WD,F. C. Lor,124,J. Moreira,11, ,1:22:91,22.78, ,8-7-4-1,2.5,1254.0,71.0,,
SUPER MAN,T213, Tale Of The Cat, Santoya,2015-09-28,61,ST aw g -,1200,3,WD,W. Y. So,115,C. K. Tong,6,TT   ,1:08.6,23.1, ,10-9-5,4.5,1197.0,62.0,,
SUPERIOR BOY,V102, Magic Albert, Free Spirited,2018-07-15,798,ST tf y A,1200,5,WD,W. Y. So,131,J. Moreira,8,B-/PC1/TT,1:12:10,24.97, ,10-10-9-3,SH        ,1149.0,38.0,4.5,
TEAM FORTUNE,T306, I Am Invincible, Lucky Beauty,2015-10-04,83,ST tf g/y B+2,1000,3,WD,W. Y. So,116,C. Y. Ho,10, ,0:57.5,23.0, ,4-5-1,1.25,1181.0,61.0,2.7,
SWEETIE BARLEY,A231, Requinto, Definite Opinion,2017-10-05,89,HV tf g A,1000,3,WD,C. Fownes,119,C. Y. Ho,4, ,0:57:07,23.24, ,6-9-9,8,1079.0,67.0,21.0,
THANKS FOREVER,B312, Duporth, Cinecitta,2018-07-08,778,ST tf g/f C,1200,GRIFFIN,WD,J. Moore,127,D. Whyte,1, ,1:09:57,23.23, ,6-5-1,3.5,,,,
THE SHOW,T256, High Chaparral, The Quarewan,2015-05-24,641,ST tf g C+3,1400,3,WD,C. H. Yip,119,W. M. Lai,11, ,1:22.3,22.8, ,5-3-3-8,6,1075.0,62.0,88.0,
THE FULL BLOOM,V243, Zebedee, Break Of Dawn,2016-10-26,134,HV tf g/f C+3,1000,4,DNF,C. H. Yip,129,C. Schofield,6, ,,, ,7-8-7,2,1052.0,55.0,18.0,
TIGRE DU TERRE,C118, Le Havre, Allmia,2019-02-10,407,ST tf g A,2000,2,WD,C. Fownes,124,Z. Purton,4, ,2:01:27,23.74, ,4-4-4-9,5.5,1141.0,87.0,10.0,
TORNEY,A063, Thorn Park, Driving Rein,2018-11-21,191,HV tf g C+3,1800,5,WD,L. Ho,120,K. Teetan,2,PC,1:50:67,23.67, ,6-6-8-7,4.25,1152.0,26.0,,
TOUCH OF LUCK,B376, Hard Spun, Seamstress,2018-11-25,203,ST tf g C,1400,4,WD,W. Y. So,124,S. Clipperton,10, ,1:22:48,22.94, ,11-11-6,5.75,,50.0,,
TRAVEL DATUK,V235, Holy Roman Emperor, Sharapova,2017-12-03,240,ST aw g -,1650,3,WD,Y. S. Tsui,115,W. M. Lai,12,P,1:39:17,22.41, ,3-3-6-9,5.25,1081.0,61.0,,
TRAVEL EMPEROR,A316, Duporth, Baby Corn,2019-03-24,521,ST tf g C+3,1000,4,WD,C. S. Shum,133,G. van Niekerk,4,B1/TT,0:56:65,22.67, ,10-10-10,4.75,1231.0,59.0,,
TRAVEL SUCCESSOR,V121, Zoffany, Frabjous,2019-01-06,318,ST aw g -,1200,4,WD,W. Y. So,113,H. N. Wong,4,TT,1:08:88,23.27, ,11-10-8,7.5,1144.0,43.0,19.0,
TRAVEL SUCCESSOR,V121, Zoffany, Frabjous,2017-09-13,30,HV tf g/f B,1200,4,WD,K. L. Man,124,H. N. Wong,10,CP,1:10:59,23.74, ,2-2-4,0.75,1109.0,55.0,,
TRAVEL FIRST,T098, Duke Of Marmalade, Starship,2017-07-01,776,ST aw g -,1650,3,WD,C. H. Yip,123,H. N. Wong,11,TT   ,1:38.5,23.9, ,2-3-4-9,3,1216.0,75.0,,
TRAVEL FIRST,T098, Duke Of Marmalade, Starship,2017-06-18,739,ST aw w/s -,1650,3,WD,C. H. Yip,132,U. Rispoli,1,TT   ,1:39.3,24.9, ,2-3-5-8,4.5,1199.0,75.0,,
WAR ROOM,B414, War Chant, Impressing Matters,2018-12-16,264,ST tf g C+3,1400,3,WD,K. H. Ting,133,A. Badel,13,H,1:22:32,22.79, ,13-12-9,3.75,1110.0,80.0,,
WATER DIVINER,V356, Equiano, Check In Time,2017-11-26,223,ST tf g C,1000,2,WD,K. W. Lui,112,M. L. Yeung,2,B/H/TT,0:56:58,22.45, ,11-11-11-10,5.75,1208.0,81.0,11.0,
WAYFOONG VINNIE,V055, Elusive City, Shana Singa,2018-07-11,794,HV tf g/f A,1000,3,WD,F. C. Lor,122,D. Whyte,8,H,0:57:09,23.38, ,3-4-4,2,1138.0,69.0,9.3,
WHISTLE UP,A082, No Excuse Needed, Kathy O'reilly,2018-11-07,155,HV tf g B,1000,5,WD,L. Ho,117,M. F. Poon,5,V/XB,0:57:54,23.07, ,9-8-3,2.5,1176.0,27.0,6.8,
WINNING FAITH,A253, Star Witness, My Central,2019-01-30,381,HV tf g A,1800,2,WD,C. S. Shum,120,A. Badel,6,CP/H/TT,1:50:68,22.94, ,11-11-10-3,1,1252.0,85.0,7.0,
YOUNG GLORY,B292, Niagara, Divine Miss Em,2019-03-31,539,ST tf g A+3,1600,5,WD,D. Ferraris,131,A. Sanna,4,B,1:35:24,23.69, ,9-8-7-3,2,1208.0,36.0,4.6,
